WatchNumber,numberStation,cabinNumber,timeStop,timeNow
366,34-ZRY,94-UTY,23:36:22,04:36:22
367,28-GNQ,55-RIT,00:03:20,06:03:20
368,35-ЗНЩ,60-АЪМ,09:42:37,11:42:37
369,38-GKL,95-NBB,04:37:31,06:37:31
370,23-ЙШФ,51-ХУБ,03:24:08,07:24:08
371,33-АКД,83-ФЫЪ,02:30:33,04:30:33
372,30-ЛУЪ,93-ПФР,09:30:40,13:30:40
373,43-IVO,69-XPL,10:58:31,15:58:31
374,21-OYA,93-PVI,21:12:57,03:12:57
375,13-ИЬД,94-SZN,19:23:17,21:23:17
376,32-НЪЖ,75-TYO,22:45:05,23:45:05
377,46-БЪН,84-ONK,08:40:13,11:40:13
378,37-ШШЗ,74-ЖЭУ,02:17:47,07:17:47
379,34-ТУТ,78-OJO,02:31:46,10:31:46
380,14-IGV,74-SAY,18:11:29,03:11:29
381,16-ACK,60-ИКР,09:51:50,16:51:50
382,25-HIZ,85-ГХЪ,23:50:29,08:50:29
383,33-БЭУ,96-HFK,20:39:23,05:39:23
384,8-QAT,72-ЛЖД,20:45:46,23:45:46
385,47-ШЮН,82-HOL,01:37:16,10:37:16
386,24-ШХЪ,51-QFO,02:40:54,06:40:54
387,7-ЦЩЭ,56-TCE,04:52:11,13:52:11
388,9-AFZ,76-КПШ,02:47:37,10:47:37
389,42-TJR,82-ЬИМ,21:22:24,02:22:24
390,41-ВСФ,61-ЪЬН,12:52:28,13:52:28
391,33-ЕДЩ,86-CBL,23:21:41,01:21:41
392,29-VFV,70-VAC,05:51:34,13:51:34
393,45-ЩРЬ,89-БЯЩ,12:37:07,13:37:07
394,27-ОЬЖ,84-RFS,16:52:04,17:52:04
395,30-ОДН,77-ТЖФ,09:18:00,15:18:00
396,43-БЯЛ,71-ЬРО,21:53:21,01:53:21
397,27-XPW,54-VGU,02:46:21,07:46:21
398,7-XKO,62-ЮЩЙ,12:39:39,18:39:39
399,21-BMV,60-KDT,09:50:51,13:50:51
400,15-BRQ,52-XSU,03:00:32,10:00:32
401,8-ХМШ,84-ХИБ,05:57:06,12:57:06
402,20-FIK,98-ЖЮЫ,17:36:48,19:36:48
403,5-ЕБК,67-QVH,11:15:07,17:15:07
404,24-НОЛ,66-BBR,09:56:57,11:56:57
405,25-ТЙЖ,89-ЙБЗ,21:21:55,04:21:55
406,44-ЧКЫ,58-SIR,18:15:02,02:15:02
407,47-LNH,75-ЗНИ,07:38:10,11:38:10
408,41-LLC,59-ХАЛ,20:21:53,23:21:53
409,45-GGC,64-ЕШЭ,23:57:05,06:57:05
410,6-ШЧЙ,69-ХВШ,05:56:30,11:56:30
411,36-LVE,63-ШЩГ,22:41:00,03:41:00
412,38-QJJ,65-JPT,22:26:48,07:26:48
413,45-AFF,51-ЛЕЯ,00:55:18,04:55:18
414,12-ХЛЮ,85-ЗИН,14:36:28,15:36:28
415,16-PVR,88-KGQ,19:57:23,22:57:23
416,35-СЪК,65-AKN,06:47:43,11:47:43
417,19-FKX,51-ЗЫК,01:44:17,06:44:17
418,7-VEX,85-ЪЙФ,07:14:15,08:14:15
419,31-DDM,66-ЧЧК,21:08:26,05:08:26
420,6-ИЬЪ,84-VZZ,09:02:21,17:02:21
421,8-TDB,99-ЫМД,17:31:35,21:31:35
422,14-ГУЯ,53-JIK,14:55:31,17:55:31
423,30-VVT,69-ПВО,15:35:31,21:35:31
424,40-ЬЪЩ,59-ЙРЮ,15:21:58,00:21:58
425,12-LSK,91-TLK,03:15:07,06:15:07
426,34-ROI,98-ТСФ,15:35:46,22:35:46
427,16-ЯИВ,96-ПЖВ,03:32:22,07:32:22
428,35-RVB,69-OLO,04:46:32,11:46:32
429,40-ZZV,68-EAI,07:34:43,09:34:43
430,24-ЩХЖ,99-QAZ,01:02:57,03:02:57
431,28-NAS,85-РШК,20:47:18,23:47:18
432,12-ЭАФ,88-BTL,06:50:03,07:50:03
433,32-ОЙЕ,96-OUQ,01:19:40,08:19:40
434,8-CPQ,72-DYD,10:45:11,14:45:11
435,41-UWS,73-ПЗЧ,16:17:58,19:17:58
436,38-XFH,75-ХНА,19:31:41,02:31:41
437,21-XWH,95-YNO,09:06:11,17:06:11
438,30-ИЧР,55-ЭТЖ,00:37:39,09:37:39
439,30-ЩЕП,54-EKG,09:30:31,11:30:31
440,8-IIS,71-DUI,23:13:47,00:13:47
441,16-ЦЧЗ,89-DET,03:33:29,06:33:29
442,7-МСЩ,87-GTO,04:41:16,09:41:16
443,26-ДЙЬ,93-КЪТ,06:31:10,08:31:10
444,36-HQR,83-ДЯЙ,05:37:23,09:37:23
445,5-IVY,64-ПМВ,09:03:59,10:03:59
446,11-ERP,90-ЪНЪ,08:38:20,12:38:20
447,36-THZ,75-TLU,22:16:35,06:16:35
448,21-UWS,63-ШКЯ,11:51:35,12:51:35
449,16-HJW,60-ЦЧЕ,04:27:58,10:27:58
450,48-RUE,66-NPF,17:17:24,01:17:24
451,32-ВЫИ,58-ФИФ,21:50:23,00:50:23
452,37-KXP,99-SKC,01:01:14,03:01:14
453,9-МГЖ,90-МТЛ,16:33:42,01:33:42
454,42-ЙЭМ,75-IJZ,14:27:19,23:27:19
455,45-ЧЙР,68-RJN,04:47:01,09:47:01
456,17-SPC,75-ЦШБ,06:10:34,07:10:34
457,18-GJJ,89-ГФИ,22:34:06,06:34:06
458,34-ПСГ,64-XVT,20:53:57,03:53:57
459,11-QKZ,60-ДЩХ,02:29:12,03:29:12
460,43-QRG,73-ЖЧЩ,18:07:20,19:07:20
461,41-ДАШ,55-CMT,22:47:55,00:47:55
462,30-ЗЧБ,83-СЗВ,23:15:11,06:15:11
463,47-BWJ,92-ЫЯН,09:49:50,12:49:50
464,33-ТШК,59-TJT,17:45:11,02:45:11
465,40-GSB,64-ЦБИ,01:40:19,06:40:19
466,25-GRT,53-EZS,08:15:48,16:15:48
467,12-UMV,86-JEF,12:06:54,16:06:54
468,40-ПБЧ,69-УЧЖ,10:32:42,17:32:42
469,8-ЯЛГ,85-НРУ,01:29:51,05:29:51
470,41-ЗЪН,89-JYI,06:14:05,11:14:05
471,39-ЛЛЗ,56-QAN,21:54:13,03:54:13
472,27-WKK,85-TIZ,07:05:29,15:05:29
473,29-ИЦС,71-ЬЭС,10:21:01,11:21:01
474,22-АУЮ,50-XUM,08:44:46,17:44:46
475,32-ROR,75-ЩОУ,03:58:02,10:58:02
476,8-ЖША,85-EFL,05:28:39,14:28:39
477,33-ZVW,92-SIP,09:49:39,14:49:39
478,34-ЙРЪ,60-ЙЭХ,10:47:58,14:47:58
479,27-ЖЖУ,80-ФТЗ,06:34:41,10:34:41
480,23-CQU,96-LUQ,14:26:06,16:26:06
481,25-ХИЗ,50-ЪАЕ,20:01:32,01:01:32
482,39-GVH,79-ГРЕ,18:40:58,19:40:58
